Device ID,Timestamp,Location,Good Count,Total Count,Planned Time,Operating Time,Ideal Cycle Time
PKG001,01-01-2024,Plant A,52617,53400,453,445,0.5
PKG002,01-01-2024,Plant A,35417,39441,469,447,0.68
PKG003,01-01-2024,Plant A,27689,29088,440,383,0.79
PKG004,01-01-2024,Plant B,26085,30000,398,350,0.7
PKG001,02-01-2024,Plant A,43005,45413,462,439,0.58
PKG002,02-01-2024,Plant A,32864,36486,469,450,0.74
PKG003,02-01-2024,Plant A,29737,34542,456,403,0.7
PKG004,02-01-2024,Plant A,38513,40254,424,369,0.55
PKG001,03-01-2024,Plant B,29949,34285,407,360,0.63
PKG002,03-01-2024,Plant A,27446,28056,362,332,0.71
PKG003,03-01-2024,Plant A,38741,39750,369,318,0.48
PKG004,03-01-2024,Plant A,35703,36688,390,373,0.61
PKG001,04-01-2024,Plant B,29306,33217,436,382,0.69
PKG002,04-01-2024,Plant B,31813,32812,403,350,0.64
PKG003,04-01-2024,Plant B,33832,38950,446,396,0.61
PKG004,04-01-2024,Plant B,35845,38852,396,395,0.61
PKG001,05-01-2024,Plant A,45550,46415,438,410,0.53
PKG002,05-01-2024,Plant B,38927,45222,413,407,0.54
PKG003,05-01-2024,Plant A,35082,38736,390,368,0.57
PKG004,05-01-2024,Plant B,28702,33616,410,409,0.73
PKG001,06-01-2024,Plant A,46289,52142,420,365,0.42
PKG002,06-01-2024,Plant B,25517,27565,373,317,0.69
PKG003,06-01-2024,Plant A,32407,35538,443,385,0.65
PKG004,06-01-2024,Plant B,52727,53375,447,427,0.48
PKG001,07-01-2024,Plant B,38487,40301,397,356,0.53
PKG002,07-01-2024,Plant B,48776,49444,455,445,0.54
PKG003,07-01-2024,Plant A,34805,36729,479,453,0.74
PKG004,07-01-2024,Plant A,29820,34857,368,366,0.63
PKG001,08-01-2024,Plant B,36852,40819,441,415,0.61
PKG002,08-01-2024,Plant B,29447,33771,453,394,0.7
PKG003,08-01-2024,Plant A,45971,48226,477,426,0.53
PKG004,08-01-2024,Plant B,45973,48436,470,444,0.55
PKG001,09-01-2024,Plant A,26822,30260,404,348,0.69
PKG002,09-01-2024,Plant A,61016,62487,471,427,0.41
PKG003,09-01-2024,Plant A,26515,29228,377,341,0.7
PKG004,09-01-2024,Plant A,45480,46829,370,320,0.41
PKG001,10-01-2024,Plant B,42724,44500,387,356,0.48
PKG002,10-01-2024,Plant A,26295,26837,367,331,0.74
PKG003,10-01-2024,Plant A,27991,31569,365,342,0.65
PKG004,10-01-2024,Plant B,26878,28578,362,362,0.76
PKG001,11-01-2024,Plant A,30684,32876,410,400,0.73
PKG002,11-01-2024,Plant B,45770,46250,389,370,0.48
PKG003,11-01-2024,Plant B,37338,43224,383,353,0.49
PKG004,11-01-2024,Plant B,32931,34459,451,425,0.74
PKG001,12-01-2024,Plant A,34825,40723,360,319,0.47
PKG002,12-01-2024,Plant B,29871,30895,402,345,0.67
PKG003,12-01-2024,Plant A,32830,33636,370,370,0.66
PKG004,12-01-2024,Plant A,66602,67463,478,461,0.41
PKG001,13-01-2024,Plant A,47660,51488,385,369,0.43
PKG002,13-01-2024,Plant B,34313,35800,386,358,0.6
PKG003,13-01-2024,Plant B,29976,34000,448,408,0.72
PKG004,13-01-2024,Plant B,30944,31815,410,403,0.76
PKG001,14-01-2024,Plant A,28120,32461,454,422,0.78
PKG002,14-01-2024,Plant B,29704,34363,451,441,0.77
PKG003,14-01-2024,Plant B,56016,58350,448,389,0.4
PKG004,14-01-2024,Plant A,24828,26769,363,348,0.78
